Universidad,Tipo Titulación,Facultad,Titulación,Título,Autor,Año,URL,Archivo Abstract,Palabras Clave,Idioma Abstract
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Administración y Dirección de Empresas;"Implantación de certificado de calidad ""Q de Calidad Turística"" en Sendalibre, S.L. = Implementation of quality cerificate ""Q of tourist quality"" for Sendalibre, S.L.";Rodríguez Rodríguez, Raquel;2014;https://buleria.unileon.es/handle/10612/3835;abstracts_uhu_TFG\Implantaci_n_de_certificado_de_2014_45600137.txt;Calidad, Satisfacción, Sendalibre S.L., Empresas-Valoración;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Administración y Dirección de Empresas;El proceso de socialización como elemento determinante de la creación de cultura organizativa :el caso de Brico Depôt León = Socialization process as determinant of the creation of the organizational culture : the case of Brico Depôt León;Cartón Souto, Andrea;2014;https://buleria.unileon.es/handle/10612/3848;abstracts_uhu_TFG\El_proceso_de_socializaci_n_co_2014_32357128.txt;Socialización, Métodos, Brico Depôt León;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Administración y Dirección de Empresas;Reestructuración y solvencia del sistema bancario español :rentabilidad y riesgo (2008-2012) = Restructuring and solvency in the Spanish banking system : profitability and risk (2008-2012);Gil Sánchez, Silvia;2014;https://buleria.unileon.es/handle/10612/3859;abstracts_uhu_TFG\Reestructuraci_n_y_solvencia_d_2014_96098811.txt;Reestructuración bancaria, Solvencia, Riesgo, Rentabilidad, Bancos, 2008-2012;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Administración y Dirección de Empresas;La responsabilidad social corporativa en el sector de la construcción :una aplicación práctica de las directrices del GRI = Corporate social responsibility in the construction sector : a practical application of the GRI guidelines;Valdés-Fierro Díez, Paula;2014;https://buleria.unileon.es/handle/10612/3852;abstracts_uhu_TFG\La_responsabilidad_social_corp_2014_27190167.txt;Responsabilidad Social Corporativa, Sector de la construcción, Global Reporting Initiative, Pequeñas y medianas empresas;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;La armonización internacional de la responsabilidad social : su aplicación en grandes empresas del sector petróleo y energía = The international harmonisation of corporate social responsibility : it's application to oil and energy sector's large companies;Coira Fernández, Laura;2014;https://buleria.unileon.es/handle/10612/3811;abstracts_uhu_TFG\La_armonizaci_n_internacional__2014_50078419.txt;Ética empresarial, Filantropía, Responsabilidad Social Corporativa, Participación ciudadana;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;La co-creación de valor en el nuevo paradigma emergente del marketing : análisis de los nuevos posicionamientos de la producción vitivinícola y el turismo en La Rioja = Value co-creation in the new emerging marketing theory paradigm : analysis of new positionings of wine production and experiential tourism in La Rioja (Spain);Casis Echarri, Greta;2014;https://buleria.unileon.es/handle/10612/3818;abstracts_uhu_TFG\La_co-creaci_n_de_valor_en_el__2014_74777189.txt;Lógica integral de servicio, Valoración;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;Comercio exterior agroalimentario : la posición competitiva de España en los países UE27, (2008-2013) = Agricultural foreign trade : the competitive position of Spain in the European (UE27) market, (2008-2013);Martínez Aguirre, Jaime;2014;https://buleria.unileon.es/handle/10612/3847;abstracts_uhu_TFG\Comercio_exterior_agroalimenta_2014_53047558.txt;Unión Europea, Agricultura, Comercio exterior;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;La competitividad de los Países de la Unión Europea en el mercado de China = The competitiveness of European Union countries in Chinese market;Jin, Huiyue;2014;https://buleria.unileon.es/handle/10612/3820;abstracts_uhu_TFG\La_competitividad_de_los_Pa_se_2014_86898938.txt;Competitividad, Unión Europea, China, Comercio exterior;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;Comportamiento del consumidor en el mercado de bebidas en España = Consumer behaviour towards beverages in Spain;Llamazares Vázquez, Raquel;2014;https://buleria.unileon.es/handle/10612/3822;abstracts_uhu_TFG\Comportamiento_del_consumidor__2014_8741980.txt;Bebidas, Conducta, Consumidores;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;Comunicación y cultura, un análisis en tres países = Communication and culture, an analysis in three countries;Aguado García, Raquel;2014;https://buleria.unileon.es/handle/10612/3807;abstracts_uhu_TFG\Comunicaci_n_y_cultura__un_an__2014_43780101.txt;Alemania, España, Estados Unidos;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;La cooperación como estrategia para el desarrollo de innovaciones en empresas multinacionales = Cooperation as a strategy for the development of innovations in multinational companies;Escanciano Ordóñez, Raquel;2014;https://buleria.unileon.es/handle/10612/3814;abstracts_uhu_TFG\La_cooperaci_n_como_estrategia_2014_83766573.txt;Competencia económica, Cooperación, Multinacionales, Innovación;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;Export profile and commercial specialization of the European Union in the Chinese market, 2008-2012 = Perfil exportador y especialización comercial de los Países de la Unión Europea en China, 2008-2012;Zhao, Lu;2014;https://buleria.unileon.es/handle/10612/3825;abstracts_uhu_TFG\Export_profile_and_commercial__2014_52841123.txt;China, Unión Europea, Comercio exterior, 2008-2012, Exportadores;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;Impacto económico y social de la organización de un evento deportivo en un país emergente : el caso de la Copa Mundial de la FIFA Brasil 2014 = Economic and social impact of the organization of sporting events in an emerging country : the case of the FIFA World Cup Brazil 2014;Gutiérrez Rozas, Álvaro;2014;https://buleria.unileon.es/handle/10612/3817;abstracts_uhu_TFG\Impacto_econ_mico_y_social_de__2014_63571609.txt;Brasil, Fútbol, Desarrollo económico, Desarrollo social, Copa Mundial de la FIFA Brasil 2014;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;Marketing y comercio electrónico en la industria de la moda = Marketing and E-commerce in the fashion industry;Valero Manso, Pablo;2014;https://buleria.unileon.es/handle/10612/3824;abstracts_uhu_TFG\Marketing_y_comercio_electr_ni_2014_55126139.txt;Marketing, Comercio electrónico, Logística empresarial, Moda;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Comercio Internacional;La Política Europea de Competencia como garantía de un mercado libre y equitativo : el caso de las ayudas estatales = The European Competition Policy to guarantee a fair and equitable market : the state aid case;Rodríguez Orejas, Sara;2014;https://buleria.unileon.es/handle/10612/3806;abstracts_uhu_TFG\La_Pol_tica_Europea_de_Compete_2014_9880634.txt;Política Comunitaria, Competencia económica;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;Análisis económico, financiero y presupuestario de entidades públicas = Economic, financial and budget analysis of public entities;Álvarez Berraco, María;2014;https://buleria.unileon.es/handle/10612/3809;abstracts_uhu_TFG\An_lisis_econ_mico__financiero_2014_90655627.txt;Análisis financiero, León. Ayuntamiento, Toledo. Ayuntamiento;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;Análisis introductorio de la propiedad industrial :patentes, debate teórico y situación en España = Introductory analysis of intellectual property: patents, theorethical debate and situation in Spain;González González, Diego;2014;https://buleria.unileon.es/handle/10612/3812;abstracts_uhu_TFG\An_lisis_introductorio_de_la_p_2014_32545607.txt;Propiedad industrial, Propiedad intelectual, Innovación, Patentes, España. Oficina Española de Patentes y Marcas;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;Caracterización a través del análisis de los estados financieros de los modelos de negocio de Selección de Productos Leoneses S.A. y Legumbres Luengo S.A. = Characterization through the analysis of the financial statements of business models of Selección de Productos Leoneses S.A. and Legumbres Luengo S.A.;Ramos González, Raquel;2014;https://buleria.unileon.es/handle/10612/3793;abstracts_uhu_TFG\Caracterizaci_n_a_trav_s_del_a_2014_45833780.txt;Economía regional, León (Provincia), Sector alimenticio, Legumbres, Legumbres Luengo S.A, Selección de Productos Leoneses S.A.;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;La comercialización e impacto de las participaciones preferentes en España = The commercialization and impact of the preferred shares in Spain;Llamas de Rueda, Rafael;2014;https://buleria.unileon.es/handle/10612/3789;abstracts_uhu_TFG\La_comercializaci_n_e_impacto__2014_42258499.txt;Participaciones preferentes, Burden-sharing, Arbitraje, Cajas de Ahorros, España;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;La distribución de la renta en países en desarrollo = Income distribution in developing countries;García Díez, Cristina;2014;https://buleria.unileon.es/handle/10612/3803;abstracts_uhu_TFG\La_distribuci_n_de_la_renta_en_2014_79929263.txt;Justicia social, Renta, Desarrollo económico, Política económica, Países en desarrollo, Riqueza;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;La economía de Castilla y León: un análisis utilizando la metodología Input-Output = Castilla & León economy: an analysis using the Input-Output methodology;Domínguez García, Álvaro;2014;https://buleria.unileon.es/handle/10612/3801;abstracts_uhu_TFG\La_econom_a_de_Castilla_y_Le_n_2014_31941527.txt;Economía regional, Análisis Input-Output, Castilla y León;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;Un estudio del gobierno corporativo: Sacyr, Acciona y ACS = A study of corporate governance: Sacyr, Acciona and ACS;Álvarez Rodríguez, Ana;2014;https://buleria.unileon.es/handle/10612/3788;abstracts_uhu_TFG\Un_estudio_del_gobierno_corpor_2014_13679129.txt;Gobierno corporativo, Código Conthe, Consejo de Administración, Sacyr, Grupo Acciona, Grupo ACS;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;Modelos sobre energía y crecimiento económico = Models of economic growth and energy;Gallego Andrés, Álvaro;2014;https://buleria.unileon.es/handle/10612/3794;abstracts_uhu_TFG\Modelos_sobre_energ_a_y_crecim_2014_92893901.txt;Modelo de Solow, Cobb-Douglas, Desarrollo económico, Energía (Física);spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;Oligopolio eléctrico español: planteamiento, alternativas y soluciones = The Spanish electrical oligopoly: approach, alternatives and solutions;Moreno Vázquez, Luis;2014;https://buleria.unileon.es/handle/10612/3795;abstracts_uhu_TFG\Oligopolio_el_ctrico_espa_ol___2014_6131706.txt;Oligopolios, Electricidad, Suministro eléctrico;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Economía;Proceso de reestructuración y recapitalización de las Cajas de Ahorros en España: caso especial NCG Banco, S.A. = Restructuring and recapitalization process of the saving banks in Spain: special case NGC Banco, S.A.;García Cebreiro, Fátima;2014;https://buleria.unileon.es/handle/10612/3787;abstracts_uhu_TFG\Proceso_de_reestructuraci_n_y__2014_44410510.txt;Crisis financieras, Reestructuración, Recapitalización, Cajas de Ahorros, NCG Banco, S.A, Sistema financiero, España;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Finanzas;Análisis de los factores determinantes de la demanda de hipotecas en España = Analysis of the determinants of demand for mortgages in Spain;Escobar Blanco, Cristina;2014;https://buleria.unileon.es/handle/10612/3774;abstracts_uhu_TFG\An_lisis_de_los_factores_deter_2014_71388183.txt;España, Hipotecas, Préstamos hipotecarios;spa
Universidad de Leon;TFG;Facultad de Ciencias Economicas y Empresariales;Grado en Finanzas;Análisis de los factores determinantes del tipo interbancario a un año en la Unión Económica y Monetaria = Analysis of determinats of the one-year interbank rate in the Economic and Monetary Union;Xiao, Juan Juan;2014;https://buleria.unileon.es/handle/10612/3780;abstracts_uhu_TFG\An_lisis_de_los_factores_deter_2014_92078357.txt;Mercado interbancario, Euribor, España, Interés de demora, Tipos de interés;spa
