Universidad;Tipo Titulacion;Facultad;titulacion;Título;Autor;Año;URL;Archivo Abstract;Palabras Clave;Idioma Abstract;Categoria
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Publicidad engañosa sobre alimentos lácteos en relación con la salud = Misleading advertising on dairy food in relation with to health;Santa Cruz González, Miguel;2018;https://buleria.unileon.es/handle/10612/7744;abstracts_uhu_TFG\Publicidad_enga_osa_sobre_alim_2018_67178935.txt;Alimentación, Publicidad;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Requerimiento de frecuencia cardiaca en motociclismo = Heart rate demand in motorcycling;Poncela Pérez, Álvaro;2018;https://buleria.unileon.es/handle/10612/8065;abstracts_uhu_TFG\Requerimiento_de_frecuencia_ca_2018_35704097.txt;Motociclismo, Frecuencia cardíaca, Ejercicio físico;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Robustez temporal del esfuerzo percibido de las sesiones de entrenamiento = Temporal robustness of the session rating of perceived exertion;Blanco Posada, Pelayo;2018;https://buleria.unileon.es/handle/10612/8093;abstracts_uhu_TFG\Robustez_temporal_del_esfuerzo_2018_26409143.txt;Percepción subjetiva, Tiempo, Recuerdo, Ejercicio, Entrenamiento;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Sedentarismo y capacidad aeróbica = Sedentary lifestyle and aerobic capacity;Gómez Wigley, Roberto;2018;https://buleria.unileon.es/handle/10612/7923;abstracts_uhu_TFG\Sedentarismo_y_capacidad_aer_b_2018_64964821.txt;Sedentarismo, Ejercicio físico, Capacidad aeróbica, VO₂máx (Consumo de oxígeno máximo);spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Situación del sistema de titulaciones deportivas en el mercado laboral: estudio en los centros deportivos fitness de León = Situation of the system of sports qualifications in the labour market: study in fitness sports centres of León;Arregui Hernández, Miguel;2018;https://buleria.unileon.es/handle/10612/7715;abstracts_uhu_TFG\Situaci_n_del_sistema_de_titul_2018_49298380.txt;Titulación deportiva, Mercado laboral, Regulación profesional, Gimnasios, León;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Taekwondo: origen y evolución = Taekwondo: origin and evolution;Rufino Añorbe, Pedro de;2018;https://buleria.unileon.es/handle/10612/7963;abstracts_uhu_TFG\Taekwondo__origen_y_evoluci_n__2018_76831077.txt;Taekwondo, Historia, Origen, ITF, WTF, Evolución;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;El traspaso de jugadores en el fútbol profesional = The transfer of players in professional football;Gómez Navarro, Víctor;2018;https://buleria.unileon.es/handle/10612/7732;abstracts_uhu_TFG\El_traspaso_de_jugadores_en_el_2018_54102538.txt;Jurisprudencia, Fútbol, Futbolistas;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Validez de la sRPE para cuantificar las sesiones de entrenamiento de resistencia en remeros = Validity of the sRPE for quantifying endurance training sessions in rowers;Bañuelos Urrutia, Luis;2018;https://buleria.unileon.es/handle/10612/8092;abstracts_uhu_TFG\Validez_de_la_sRPE_para_cuanti_2018_20272912.txt;Entrenamiento, Resistencia, Remeros, Ejercicio;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Validez de un nuevo medidor de potencia (Power2Max) utilizado en ciclismo: laboratorio vs competición = Validity of a new powermeter (Power2Max) used in cycling: laboratory vs competition;Iglesias Pino, Javier;2018;https://buleria.unileon.es/handle/10612/8133;abstracts_uhu_TFG\Validez_de_un_nuevo_medidor_de_2018_31898589.txt;Ciclismo, Potenciómetros, Power2max, Powertap, Validación;spa;Deporte
Universidad de Leon;TFG;Facultad de Ciencias de la Actividad Fisica y del Deporte;Grado en Ciencias de la Actividad Física y del Deporte;Valoración antropométrica y de la cualidad aeróbica de un grupo de ciclistas de diferente categoría =  Anthropometric and endurance assessment of cyclists according their category;García Durán, Juan Manuel;2018;https://buleria.unileon.es/handle/10612/8094;abstracts_uhu_TFG\Valoraci_n_antropom_trica_y_de_2018_30046243.txt;Ciclismo, Somatotipo, VO2max, Valoración;spa;Deporte
